2.02E+13|0|0|我从公司开回家，开了不到30KM的路程，回来进小区地下车库停好车后，刚锁好车门准备走，突然听到我家小灰车底传来啪哒啪哒的声音
2.02E+13|18|93|左打方向有异响，师傅找了好半天，判断这个总成中部分异响，索赔，等了两个星期，到货了
2.02E+13|18|101|这个总成非常沉，好像是20kg两个人托着才装上的
2.02E+13|30|139|最近看上这车，现主要纠结两点：一是大家反映1,6的噪音大，二是好像没有防撞钢梁；不知道2,0的噪音大不大啊
2.02E+13|139|801|天啊，我的车车啊，才八个月啊，就裂了，从底脚一直裂到快到顶了，奶奶的，找4S店，他们说玻璃不在保，这它妈的是质量问题啊，也不是我人为损坏的，这啥质量啊，我停在单位院里都没开，下班时才发现这么一条大缝，真倒霉啊，玻璃倒不贵，4S说原厂的才三百八，加上工时也就四百多，可我的膜贴了才两个多月啊，更可气的是，我才开了八个月不到五千公里，和新车也没啥区别，这玻璃就自动裂了，想着就恼心，看着就烦心，亏我还一直向周围的人推荐长城，这下人家都看我笑话了，说你不是说长城车质量好吗，你这才几个月的车就这样了，唉，脸丢大发了啊
2.02E+13|148|823|使用中暂发现以下问题，不知各位车友可曾遇到：1、方向盘只能前后调节，不能上下调节，使用起来有点不方便
2.02E+13|148|824|2、驾驶座仪表板下方空间较局促，时间久了磨的膝盖疼，LP现在非常不想开，一直埋怨没买M2
2.02E+13|148|825|3、高速行驶时时速超过100KM/时，胎噪确实大啊
2.02E+13|148|829|5、前段时间出现过一次打火打不着，连打几次都不行
2.02E+13|148|838|7、4S服务态度真的不行，希望长城以后好好整顿下售后
2.02E+13|153|883|加速时明显感觉发动机发闷不像以前那么透溜油门特别重方向盘特别沉给油好像比原来慢降速厉害滑行时比原来短很多一降到60感觉后面有东西拽一下降到30迈以下的时候感觉又正常了?停车等灯时感觉车抖动这都是什么毛病呢我的车是2.0两驱首保过后就这样了?三保刚完事还是这样到4S店去检查说一切正常怎么回事呢都无语了
2.02E+13|154|884|我的小三，最近一段时间在晚上开灯光的时候，水温很容易上5格，就算是只跑2公里也是这样，如果开空调水温很快上7格，但是关掉大灯后，水温迅速变为4格或者是5格，如果是5格，风扇启动，水温很快变为4格，什么原因
2.02E+13|174|984|??今天洗车发现天线的塑料座子裂了好几道缝，不知道是被太阳晒得还是洗车冲的，于是打电话给4S，叫立马过去
2.02E+13|202|1277|启动车时听到启动机很强劲的声音及车的震动，但是打不着火
2.02E+13|212|1329|除了做工内饰不如马三外
2.02E+13|228|1507|踩在上面怎么都不舒服，特别是加油的时候总觉得行程很短，腿不好使力，你们是怎么解决这个问题的
2.02E+13|311|1934|这两天看到的很多车都有驾驶位的右脚、小腿位有热风吹出的情况，我的也是，你说冬天也行啊，但夏天怎么办啊，那天只开了一个小时就热得不行，感到方向盘下方也有热感，有时还能感觉到有股糊味，求原因及解决途径，非常感谢
2.02E+13|313|1936|雨刮器挂起来没力啊~特别是高速上~另外问下大家你们的雨刮器喷嘴喷出来的水是柱状的还是散开的雾状的
2.02E+13|314|1939|之前有过，试过急刹，但是还响，完了把刹车片卸下来把四周磨了下就好了
2.02E+13|333|2034|最近研究了小三的座椅问题，发现不舒服并不全是因为座椅，门板扶手才是罪魁祸首，小三车体窄设计师为了加大横向空间，门板扶手设计的靠外，开车时胳膊肘放不到扶手上，导致时间长后会很累所以动手加宽扶手，作业时没拍照直接上成品图
2.02E+13|342|2163|?各位大哥，我的纳纳熄火的时候，发动机仓嗒嗒响，去4S问了一下，人家说是电子节气门都是这，熄火的时候都响
2.02E+13|388|2429|而且油门抖动的感觉更明显，大家有没有这种感觉，小弟刚入手F3，对在驾驶时所遇到的情况和问题，不知道是正常还是不正常，还希望大家给予帮助，打消一些不必要的疑问
2.02E+13|461|2998|各位：瑞纳的轮胎噪音感觉很大，是不是磨合一段时间就好了
2.02E+13|464|3013|和大家比起来，真有点贵啊
2.02E+13|474|3124|最近每次下大雨，关窗开车没一会功夫，前挡就起雾了，模糊的看不清啊，不知道怎么开除雾功能，每次要打开空调，然后风力很大才可以，大风力声音很大，但是关了又不行了，到底是不是这样除雾的，看图片
2.02E+13|476|3128|其他的都挺好的，就是今天回家时开在路上的时候不经意的把手放开时，发现方向盘向右跑偏挺厉害的，我还以为轮胎漏气了，还特地下车查看了一圈
2.02E+13|476|3129|后来开在高架上时速80到100时放手也有点跑偏，比低速时好些
2.02E+13|504|3267|本人想换掉原厂的天线，因为蛮碍事的??车衣不好罩，洗车不好洗；未下各位同学原厂要怎么样拆下来啊，拆完后有孔没有
2.02E+13|555|3534|见笑咯?1、2档的发动机噪音还是比较明显的，3、4、5档就好很多了
2.02E+13|618|3860|为什么C30挂一挡特别不好挂，而且提速挂挡的时候挂一挡和挂二挡总是不顺畅，每次挂挡的时候挂到一半就卡住了，好像有东西中中间挡着似的，然后在挂会空挡重新在挂挡，我真是无语了，买车3个月总是因为挂不上挡变速箱打齿
2.02E+13|669|4147|前几天刚刚提的小三，开始的两天刹车的时候没有响声，开了两天后每次刹车的时候都有像吹口哨一样的响声，而且声音好像大了，什么原因啊
2.02E+13|670|4148|???2009年9月底购置一辆双燃料爱丽舍(本地区天然气加气站充足，为了节省费用），在使用2年后，车辆油转气候开始抖动，去4S店检查发现，4个喷气嘴中2个已经损坏无法使用，剩下的2个也将要报废，一个配气嘴1280元
2.02E+13|722|4529|缺点：①小五的刹车系统不行，据观察主要刹车盘太小大家可以仔细比对一下后轮比前轮的还小②转向系统过于柔软
2.02E+13|772|4851|雨刷使用时运行到玻璃最上面有响声出现，比较大，是啥原因
2.02E+13|845|5232|不过最近频频有质量问题：1、2档位不清；向右跑偏；把手质量；总里程可以清零
2.02E+13|846|5242|2.柴油质量不稳定,质量差的柴油一下就把喷油嘴堵死,一个喷油嘴要1000多啊,4个喷油嘴是多少了
2.02E+13|855|5272|感觉还不错，后排空间小了点，女士开还行
2.02E+13|886|5504|前天发现挂档不好挂空挡，踩在离合上抖动的厉害，六点多到4S说下班了可能是离合的问题我怕引起更大的故障在家门口的修车店把离合拆了，真费事啊，拆的我心疼，换了个新的离合，发现原来的磨得挺好的，以前我老不自信驾车技术
2.02E+13|917|5780|缺点：1、白色与红色不属于金属漆，太薄太薄了，在大车多的路上车漆很容易受小伤2、很塑料化，所料不怎么结实3、减震太硬了，我感觉比拖拉机强一点点，真的，尤其是过减速带或是硬坑的时候，那么的明显，在全公路上开还行，要是走乡村路，太没有舒适感了
2.02E+13|939|5856|用了这几天，我觉得此车最大的一个毛病就是，二档三档低速松油的时候挫车感比较明显，需要加油门或者半离合来解决，或者干脆进空档
2.02E+13|987|6088|60迈车4、5档，发动机异响，踩油门时“哒哒”连续有节奏的声音，像金属撞击声音，声音不大，但是能够听出来，松开油门声音消失
2.02E+13|987|6093|刷ECU后感觉怠速发动机声音变大（因为以前发动机启动后，还有时候再拧钥匙打火，说明以前怠速很静音）也不知道是不是心理的缘故
2.02E+13|987|6095|左车门又异响，颠簸的路面好像车门玻璃或者车门震动的响，确定是车门响，怎么办啊
2.02E+13|999|6220|车门很溥，关门声音不如帝豪718好听
2.02E+13|105|621|德系的SUV奔驰宝马买不起，奥迪Q5和途观空间小，外形平庸缺乏现代时尚感
2.02E+13|124|706|2.oMT起步略有抖动，大家有么有一样的情况
2.02E+13|132|731|这23天回龙岩过5.1，天气差不多28-30度的阵雨天气，空调还是跟之前一样，不给力，坐后排的人都热死了
2.02E+13|132|741|308明显跟别车比起来空调不给力
2.02E+13|149|821|苏州凯马的长城4S的服务不错，知道这个问题后帮忙换成了哈弗的固定螺杆螺母
2.02E+13|224|1537|开关不大好，好像是接触不灵敏，SSSS说换开关要钱的
